ID,metapredict_scores
disprot|DP00249r002 pos=103-161 term=IDPO:00050 ec=ECO:0006204 pmid=2933134,76.27584745762711
disprot|DP00250r013 pos=19-212 term=IDPO:00050 ec=ECO:0007691 pmid=25257027,57.7615
disprot|DP00250r028 pos=186-204 term=IDPO:00050 ec=ECO:0006165 pmid=18272180,62.499210526315785
disprot|DP00252r019 pos=54-74 term=IDPO:00050 ec=ECO:0006220 pmid=15451433,68.1947619047619
disprot|DP00257r011 pos=89-125 term=IDPO:00050 ec=ECO:0006165 pmid=15897454,60.70170270270271
disprot|DP00262r008 pos=791-804 term=IDPO:00050 ec=ECO:0006165 pmid=11959977,62.0395
disprot|DP00269r003 pos=1350-1507 term=IDPO:00050 ec=ECO:0000269 pmid=11121423,62.5897875
disprot|DP00273r002 pos=340-350 term=IDPO:00050 ec=ECO:0006165 pmid=9539726,69.28236363636364
disprot|DP00279r002 pos=35-49 term=IDPO:00050 ec=ECO:0006165 pmid=16008352,58.26906666666667
disprot|DP00279r005 pos=57-68 term=IDPO:00050 ec=ECO:0006165 pmid=16008352,71.408
disprot|DP00279r008 pos=84-99 term=IDPO:00050 ec=ECO:0006165 pmid=16008352,67.352625
disprot|DP00288r014 pos=1-73 term=IDPO:00050 ec=ECO:0006204 pmid=9915794,89.73502739726028
disprot|DP00299r008 pos=16-29 term=IDPO:00050 ec=ECO:0005670 pmid=27026704,61.30828571428572
disprot|DP00301r011 pos=116-132 term=IDPO:00050 ec=ECO:0006220 pmid=9012674,65.47370588235295
disprot|DP00301r019 pos=9-24 term=IDPO:00050 ec=ECO:0006165 pmid=14717591,72.13968750000001
disprot|DP00324r010 pos=92-102 term=IDPO:00050 ec=ECO:0005670 pmid=10323862,55.288999999999994
disprot|DP00328r003 pos=310-335 term=IDPO:00050 ec=ECO:0006165 pmid=9878427,62.47711538461538
disprot|DP00335r004 pos=1-37 term=IDPO:00050 ec=ECO:0006165 pmid=11718560,71.5611891891892
disprot|DP00342r017 pos=32-47 term=IDPO:00050 ec=ECO:0006317 pmid=16894158,57.421
disprot|DP00343r004 pos=1045-1085 term=IDPO:00050 ec=ECO:0006165 pmid=11823864,83.12507317073171
disprot|DP00345r002 pos=884-953 term=IDPO:00050 ec=ECO:0006204 pmid=7703231,70.82458571428572
disprot|DP00347r018 pos=46-78 term=IDPO:00050 ec=ECO:0006165 pmid=18230733,58.42542424242424
disprot|DP00356r003 pos=220-269 term=IDPO:00050 ec=ECO:0006204 pmid=14594809,75.34876
disprot|DP00357r003 pos=1-44 term=IDPO:00050 ec=ECO:0006165 pmid=8269922,68.38231818181818
disprot|DP00359r009 pos=62-78 term=IDPO:00050 ec=ECO:0006198 pmid=29501381,74.22923529411764
disprot|DP00364r006 pos=171-181 term=IDPO:00050 ec=ECO:0006220 pmid=22002721,52.01163636363637
disprot|DP00382r002 pos=1-16 term=IDPO:00050 ec=ECO:0006204 pmid=15518563,68.239375
disprot|DP00382r004 pos=79-102 term=IDPO:00050 ec=ECO:0006204 pmid=15518563,78.52229166666667
disprot|DP00385r007 pos=285-299 term=IDPO:00050 ec=ECO:0006220 pmid=12554650,69.68313333333334
disprot|DP00387r003 pos=1-116 term=IDPO:00050 ec=ECO:0006165 pmid=11258888,84.650325
disprot|DP00389r006 pos=962-1023 term=IDPO:00050 ec=ECO:0006204 pmid=7703231,72.24775806451613
disprot|DP00390r003 pos=282-309 term=IDPO:00050 ec=ECO:0006220 pmid=11566136,56.01625
disprot|DP00390r009 pos=383-393 term=IDPO:00050 ec=ECO:0006220 pmid=11566136,64.02736363636365
disprot|DP00395r007 pos=580-590 term=IDPO:00050 ec=ECO:0005670 pmid=11807546,57.521727272727276
disprot|DP00397r003 pos=275-285 term=IDPO:00050 ec=ECO:0006220 pmid=12562774,58.031363636363636
disprot|DP00399r003 pos=314-324 term=IDPO:00050 ec=ECO:0006220 pmid=9271497,62.19436363636364
disprot|DP00410r025 pos=8-43 term=IDPO:00050 ec=ECO:0006204 pmid=21799007,80.35613888888889
disprot|DP00423r002 pos=171-258 term=IDPO:00050 ec=ECO:0006204 pmid=15050829,86.5645375
disprot|DP00423r009 pos=166-252 term=IDPO:00050 ec=ECO:0006204 pmid=14654695,78.5036375
disprot|DP00424r004 pos=34-50 term=IDPO:00050 ec=ECO:0006165 pmid=23972852,71.60123529411764
disprot|DP00427r007 pos=541-557 term=IDPO:00050 ec=ECO:0006220 pmid=17635929,55.91458823529412
disprot|DP00427r010 pos=401-413 term=IDPO:00050 ec=ECO:0006220 pmid=17635929,68.0643076923077
disprot|DP00428r009 pos=489-506 term=IDPO:00050 ec=ECO:0005670 pmid=17307877,62.54305555555556
disprot|DP00429r004 pos=50-64 term=IDPO:00050 ec=ECO:0005670 pmid=10891278,59.6022
disprot|DP00446r005 pos=186-197 term=IDPO:00050 ec=ECO:0006165 pmid=18590740,70.88199999999999
disprot|DP00448r002 pos=1104-1164 term=IDPO:00050 ec=ECO:0007680 pmid=16361249,73.60377049180327
disprot|DP00455r002 pos=130-158 term=IDPO:00050 ec=ECO:0006220 pmid=20603002,65.41020689655173
disprot|DP00461r004 pos=1-90 term=IDPO:00050 ec=ECO:0006204 pmid=15004032,53.1353625
disprot|DP00462r002 pos=353-390 term=IDPO:00050 ec=ECO:0006220 pmid=8876648,71.0126052631579
disprot|DP00466r006 pos=23-124 term=IDPO:00050 ec=ECO:0001238 pmid=30401430,48.8725125
disprot|DP00472r016 pos=59-70 term=IDPO:00050 ec=ECO:0006165 pmid=24235149,71.0085
disprot|DP00473r002 pos=490-593 term=IDPO:00050 ec=ECO:0006165 pmid=15751956,64.0211125
disprot|DP00474r002 pos=506-681 term=IDPO:00050 ec=ECO:0006198 pmid=15751956,60.3765625
disprot|DP00486r010 pos=608-640 term=IDPO:00050 ec=ECO:0005670 pmid=20164921,66.63960606060606
disprot|DP00487r003 pos=1-41 term=IDPO:00050 ec=ECO:0006220 pmid=11526233,70.64326829268292
disprot|DP00492r004 pos=142-485 term=IDPO:00050 ec=ECO:0006204 pmid=11896058,63.5079875
disprot|DP00492r031 pos=144-450 term=IDPO:00050 ec=ECO:0006336 pmid=36229685,65.39775
disprot|DP00512r006 pos=76-91 term=IDPO:00050 ec=ECO:0006165 pmid=8989327,59.724937499999996
disprot|DP00519r010 pos=2784-2813 term=IDPO:00050 ec=ECO:0006165 pmid=19632184,62.27546666666667
disprot|DP00519r025 pos=1504-1528 term=IDPO:00050 ec=ECO:0005670 pmid=15327768,65.58708
