ID,metapredict_scores
disprot|DP00250r013 pos=19-212 term=IDPO:00050 ec=ECO:0007691 pmid=25257027,0.6098875
disprot|DP00250r028 pos=186-204 term=IDPO:00050 ec=ECO:0006165 pmid=18272180,0.7291052631578947
disprot|DP00252r019 pos=54-74 term=IDPO:00050 ec=ECO:0006220 pmid=15451433,0.5583333333333333
disprot|DP00257r011 pos=89-125 term=IDPO:00050 ec=ECO:0006165 pmid=15897454,0.8174054054054054
disprot|DP00262r008 pos=791-804 term=IDPO:00050 ec=ECO:0006165 pmid=11959977,0.7725714285714286
disprot|DP00269r003 pos=1350-1507 term=IDPO:00050 ec=ECO:0000269 pmid=11121423,0.6504125000000001
disprot|DP00273r002 pos=340-350 term=IDPO:00050 ec=ECO:0006165 pmid=9539726,0.6749090909090909
disprot|DP00279r002 pos=35-49 term=IDPO:00050 ec=ECO:0006165 pmid=16008352,0.8240666666666667
disprot|DP00279r005 pos=57-68 term=IDPO:00050 ec=ECO:0006165 pmid=16008352,0.5735
disprot|DP00279r008 pos=84-99 term=IDPO:00050 ec=ECO:0006165 pmid=16008352,0.6648125
disprot|DP00288r014 pos=1-73 term=IDPO:00050 ec=ECO:0006204 pmid=9915794,0.30231506849315065
disprot|DP00299r008 pos=16-29 term=IDPO:00050 ec=ECO:0005670 pmid=27026704,0.8981428571428571
disprot|DP00301r011 pos=116-132 term=IDPO:00050 ec=ECO:0006220 pmid=9012674,0.8491764705882353
disprot|DP00301r019 pos=9-24 term=IDPO:00050 ec=ECO:0006165 pmid=14717591,0.6509375
disprot|DP00324r010 pos=92-102 term=IDPO:00050 ec=ECO:0005670 pmid=10323862,0.894
disprot|DP00328r003 pos=310-335 term=IDPO:00050 ec=ECO:0006165 pmid=9878427,0.9047692307692308
disprot|DP00335r004 pos=1-37 term=IDPO:00050 ec=ECO:0006165 pmid=11718560,0.6160540540540541
disprot|DP00342r017 pos=32-47 term=IDPO:00050 ec=ECO:0006317 pmid=16894158,0.890125
disprot|DP00343r004 pos=1045-1085 term=IDPO:00050 ec=ECO:0006165 pmid=11823864,0.24512195121951222
disprot|DP00345r002 pos=884-953 term=IDPO:00050 ec=ECO:0006204 pmid=7703231,0.4765428571428571
disprot|DP00347r018 pos=46-78 term=IDPO:00050 ec=ECO:0006165 pmid=18230733,0.5454848484848486
disprot|DP00356r003 pos=220-269 term=IDPO:00050 ec=ECO:0006204 pmid=14594809,0.19155999999999998
disprot|DP00357r003 pos=1-44 term=IDPO:00050 ec=ECO:0006165 pmid=8269922,0.817590909090909
disprot|DP00359r009 pos=62-78 term=IDPO:00050 ec=ECO:0006198 pmid=29501381,0.594764705882353
disprot|DP00364r006 pos=171-181 term=IDPO:00050 ec=ECO:0006220 pmid=22002721,0.9156363636363636
disprot|DP00382r002 pos=1-16 term=IDPO:00050 ec=ECO:0006204 pmid=15518563,0.5581875
disprot|DP00382r004 pos=79-102 term=IDPO:00050 ec=ECO:0006204 pmid=15518563,0.45025
disprot|DP00385r007 pos=285-299 term=IDPO:00050 ec=ECO:0006220 pmid=12554650,0.613
disprot|DP00387r003 pos=1-116 term=IDPO:00050 ec=ECO:0006165 pmid=11258888,0.1791875
disprot|DP00389r006 pos=962-1023 term=IDPO:00050 ec=ECO:0006204 pmid=7703231,0.4241451612903226
disprot|DP00390r003 pos=282-309 term=IDPO:00050 ec=ECO:0006220 pmid=11566136,0.8041071428571429
